,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"@KimDotcom @SamHarrisOrg My firstborn child died in my arms. I felt his last heartbeat. 

I have no mercy for anyone who would use the deaths of children for gain, politics or fame.",74416,7410,2022-11-21 04:44:17+00:00
1,elonmusk,"@teslaownersSV @EvaFoxU Oh man, that’s a long story, but if we haven’t cut response time in half by end of year, I will hang my head in shame",10176,563,2022-11-21 04:34:48+00:00
2,elonmusk,@BLKMDL3 @EvaFoxU Latter,2800,131,2022-11-21 04:32:33+00:00
3,elonmusk,"@teslaownersSV @EvaFoxU Yes, major focus on video overall",6403,332,2022-11-21 04:32:12+00:00
4,elonmusk,@EvaFoxU Priority #1,162684,11822,2022-11-21 04:29:47+00:00
5,elonmusk,"@SamHarrisOrg Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven",86971,5726,2022-11-21 03:12:01+00:00
6,elonmusk,@EvaFoxU Falcon is powered by 9 merkins!,15021,684,2022-11-21 02:37:00+00:00
7,elonmusk,Our love will never die https://t.co/y5SldfAAt0,346356,27345,2022-11-21 01:55:54+00:00
8,elonmusk,And lead us not into temptation … https://t.co/8qNOXzwXS9,732811,66968,2022-11-21 01:19:15+00:00
9,elonmusk,@EvaFoxU So tempting …,6763,253,2022-11-21 00:38:35+00:00
10,elonmusk,@HappyJesse Yes,10140,226,2022-11-20 23:36:02+00:00
11,elonmusk,"@kanyewest Don’t kill what ye hate
Save what ye love",230459,13637,2022-11-20 23:08:35+00:00
12,elonmusk,@teslaownersSV @kcoleman Making good progress. Still tracking to wide release next month.,5140,338,2022-11-20 22:30:51+00:00
13,elonmusk,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK",101534,11293,2022-11-20 22:21:31+00:00
14,elonmusk,"@TimRunsHisMouth So you say “mainstream media” is biased? 

Hmm, will have to fact-check that with mainstream media.

Nope, they say everything is cool!",137952,12191,2022-11-20 21:55:25+00:00
15,elonmusk,"@RaheemKassam They just can’t stop writing about Twitter, which is driving usage through roof lmao",46968,4249,2022-11-20 21:51:23+00:00
16,elonmusk,@catturd2 One thing is for sure: it’s not boring https://t.co/47uPkl88gZ,89396,5676,2022-11-20 21:49:04+00:00
17,elonmusk,@kcoleman Exactly,16122,779,2022-11-20 21:45:54+00:00
18,elonmusk,@stillgray @mtaibbi “All the news that’s fit to print” my ass,22028,2699,2022-11-20 21:09:46+00:00
19,elonmusk,@CBSNewsPress 🤭,229111,10931,2022-11-20 20:18:43+00:00
20,elonmusk,@Starbie888 @NateSilver538 [Cue Spider-Man meme],3285,146,2022-11-20 20:13:05+00:00
21,elonmusk,@Starbie888 @NateSilver538 What could be more fun than a social network consisting entirely of hall monitors!?,5648,434,2022-11-20 20:12:22+00:00
22,elonmusk,@NateSilver538 🤣🤣💯🎯,21158,992,2022-11-20 18:36:52+00:00
23,elonmusk,@mtaibbi It is tragic how far The New York Times has fallen – basically just boring af far left brainwashing at this point. The boring part is truly unforgivable!,79408,12467,2022-11-20 14:44:38+00:00
24,elonmusk,World Cup starts soon! Follow on Twitter for best coverage by far.,509799,31834,2022-11-20 14:40:09+00:00
25,elonmusk,@WholeMarsBlog 🤣,33860,1077,2022-11-20 14:36:49+00:00
26,elonmusk,@TomFitton Sure as night follows day …,54042,4435,2022-11-20 14:33:09+00:00
27,elonmusk,@JGreenblattADL @ADL Hey stop defaming me!,347365,18073,2022-11-20 05:14:30+00:00
28,elonmusk,@naiivememe 🔥🔥,35933,1626,2022-11-20 04:57:42+00:00
29,elonmusk,Twitter is ALIVE,1413751,114101,2022-11-20 04:50:20+00:00
30,elonmusk,@EMTSLA @teslaownersSV @RaheemKassam @nypost Good idea,7314,236,2022-11-20 03:54:40+00:00
31,elonmusk,@teslaownersSV @RaheemKassam @nypost Their posts are super boring,15742,697,2022-11-20 03:52:22+00:00
32,elonmusk,@RaheemKassam @nypost They should bring Walter Cronkite back,18572,1238,2022-11-20 03:49:18+00:00
33,elonmusk,@nypost Oh forget it who cares,123492,6615,2022-11-20 03:40:54+00:00
34,elonmusk,@RenataKonkoly @nypost 🤣💯,26610,660,2022-11-20 03:36:12+00:00
35,elonmusk,@nypost Who made this decision?,316211,12664,2022-11-20 03:35:25+00:00
36,elonmusk,@BuzzPatterson 😉,124180,4596,2022-11-20 03:30:23+00:00
37,elonmusk,@KimDotcom Twitter engineering is working on it,61591,2899,2022-11-20 03:29:41+00:00
38,elonmusk,@sriramk Server load is insane rn. Good stress test before World Cup tomorrow!,109507,6337,2022-11-20 02:59:45+00:00
39,elonmusk,@DavidSacks Well-said,56706,2252,2022-11-20 02:35:09+00:00
40,elonmusk,@LefterisJP Lmaooo,42493,1600,2022-11-20 02:10:11+00:00
41,elonmusk,@TrungTPhan 🤣🤣,77232,2409,2022-11-20 02:07:29+00:00
42,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",944906,128233,2022-11-20 00:53:25+00:00
43,elonmusk,@TheBabylonBee 🤣 but actually,41773,1680,2022-11-20 00:30:26+00:00
44,elonmusk,@MomAngtrades 🤣,111377,4328,2022-11-20 00:15:30+00:00
45,elonmusk,134M people have seen this poll,264499,13133,2022-11-19 23:07:08+00:00
46,elonmusk,@TrungTPhan Red Bull does work tbh,79266,2992,2022-11-19 23:05:34+00:00
47,elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,14003,764,2022-11-19 22:49:44+00:00
48,elonmusk,@BillyM2k @waitbutwhy I agree,6151,238,2022-11-19 22:48:54+00:00
49,elonmusk,@micsolana 🤣🤣,7720,267,2022-11-19 21:21:31+00:00
50,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,171548,10630,2022-11-19 21:19:48+00:00
51,elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),6479,387,2022-11-19 21:16:47+00:00
52,elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",25364,1488,2022-11-19 21:14:12+00:00
53,elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,9920,532,2022-11-19 14:12:19+00:00
54,elonmusk,@ErrolWebber Yes,6554,281,2022-11-19 14:11:07+00:00
55,elonmusk,Fascinating to watch Twitter Trump poll!,455984,24564,2022-11-19 13:23:21+00:00
56,elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,38296,3941,2022-11-19 13:02:19+00:00
57,elonmusk,@DavidSacks Good question,28476,1485,2022-11-19 12:45:54+00:00
58,elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,213916,8656,2022-11-19 12:19:23+00:00
59,elonmusk,@micsolana 🤣🤣,6300,214,2022-11-19 12:02:22+00:00
60,elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,5608,196,2022-11-19 11:43:12+00:00
61,elonmusk,Tesla FSD 10.69.3.1 going to wide release now,120092,6895,2022-11-19 09:37:51+00:00
62,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,460044,36811,2022-11-19 09:28:36+00:00
63,elonmusk,@Nomad_1x The bot attack is impressive to watch!,59916,4306,2022-11-19 09:21:31+00:00
64,elonmusk,Trump poll getting ~1M votes/hour!,615651,38163,2022-11-19 09:05:35+00:00
65,elonmusk,@micsolana Can’t tell if this is parody or real,9936,345,2022-11-19 09:02:30+00:00
66,elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",14071,792,2022-11-19 06:06:34+00:00
67,elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",231012,9057,2022-11-19 02:09:59+00:00
68,elonmusk,@lexfridman Agreed,30620,706,2022-11-19 02:07:59+00:00
69,elonmusk,"Vox Populi, Vox Dei",314254,22965,2022-11-19 00:53:47+00:00
70,elonmusk,Reinstate former President Trump,823535,233387,2022-11-19 00:47:45+00:00
71,elonmusk,@thevivafrei @paraga @jack Too bad,60108,1851,2022-11-19 00:41:18+00:00
72,elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4357,274,2022-11-19 00:25:35+00:00
73,elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",52910,4671,2022-11-19 00:15:53+00:00
74,elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,52306,2310,2022-11-19 00:13:23+00:00
75,elonmusk,@TrungTPhan 🤣,6691,200,2022-11-18 22:14:51+00:00
76,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,621513,55664,2022-11-18 22:07:39+00:00
77,elonmusk,@BillyM2k Exactly,32238,1740,2022-11-18 21:52:14+00:00
78,elonmusk,@Benioff Thanks Marc ❤️,62622,2034,2022-11-18 21:11:12+00:00
79,elonmusk,@HardcoreNolley No,70717,1640,2022-11-18 19:03:47+00:00
80,elonmusk,"Note, this applies just to the individual tweet, not the whole account",134051,7630,2022-11-18 18:38:38+00:00
81,elonmusk,@TheBabylonBee If only there had been a way … 🤣🤣,49556,3204,2022-11-18 18:37:03+00:00
82,elonmusk,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",269871,21113,2022-11-18 18:33:48+00:00
83,elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",414824,42819,2022-11-18 18:31:47+00:00
84,elonmusk,Freedom Fridays …,385949,24686,2022-11-18 18:22:01+00:00
85,elonmusk,@BillyM2k Jazz hands 🤗,31892,1227,2022-11-18 18:19:37+00:00
86,elonmusk,What should Twitter do next?,517452,32679,2022-11-18 17:38:07+00:00
87,elonmusk,@Yemen_770 🤣,2475,106,2022-11-18 17:37:40+00:00
88,elonmusk,@micsolana You don’t say …,41977,2341,2022-11-18 16:40:26+00:00
89,elonmusk,@SamTwits Of course not ❤️,49582,1454,2022-11-18 15:56:43+00:00
90,elonmusk,@DrKrusher 🥱,38336,1003,2022-11-18 15:33:16+00:00
91,elonmusk,@MikeDulaimi I stand corrected!,20745,500,2022-11-18 15:20:01+00:00
92,elonmusk,https://t.co/OjhQJvruTy,788513,100373,2022-11-18 15:16:30+00:00
93,elonmusk,@lionxmah @folha ?,3024,127,2022-11-18 10:26:25+00:00
94,elonmusk,@AOC You’re welcome,548775,21962,2022-11-18 09:47:40+00:00
95,elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",55293,5492,2022-11-18 09:25:02+00:00
96,elonmusk,@piersmorgan Seriously,133362,4662,2022-11-18 08:56:22+00:00
97,elonmusk,https://t.co/JU073T756X,344031,23889,2022-11-18 06:40:12+00:00
98,elonmusk,https://t.co/rbwbsLA1ZG,2134656,236356,2022-11-18 04:23:16+00:00
99,elonmusk,🏴‍☠️,544733,35210,2022-11-18 04:20:14+00:00
100,elonmusk,@ashleevance 🤣,8791,277,2022-11-18 04:19:11+00:00
101,elonmusk,Let that sink in …,230741,9354,2022-11-18 04:12:21+00:00
102,elonmusk,And … we just hit another all-time high in Twitter usage lol,724368,47594,2022-11-18 04:07:05+00:00
103,elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",197426,12940,2022-11-18 03:58:03+00:00
104,elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",13476,1221,2022-11-18 03:46:11+00:00
105,elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,139191,4752,2022-11-18 03:34:58+00:00
106,elonmusk,@MichaelGuimarin Thanks!,16795,430,2022-11-18 01:29:38+00:00
107,elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",460479,26759,2022-11-18 01:25:55+00:00
108,elonmusk,@growing_daniel @micsolana 🤣,36225,1460,2022-11-17 23:34:38+00:00
109,elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",108822,7687,2022-11-17 23:28:28+00:00
110,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,46122,2303,2022-11-17 20:28:52+00:00
111,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",12778,1346,2022-11-17 17:53:14+00:00
112,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,14749,1041,2022-11-17 17:50:20+00:00
113,elonmusk,@AutismCapital Ok,7170,202,2022-11-17 17:41:14+00:00
114,elonmusk,@chazman We’re working on something that should rank replies automatically,13172,630,2022-11-17 15:31:43+00:00
115,elonmusk,Twitter is like open-sourcing the news,404913,32041,2022-11-17 15:26:13+00:00
116,elonmusk,@dogeofficialceo Polycule 🔥🔥,16740,804,2022-11-17 15:24:04+00:00
117,elonmusk,@sama Probably,7135,292,2022-11-17 15:21:51+00:00
118,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,24998,1316,2022-11-17 15:21:10+00:00
119,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",60130,3620,2022-11-17 15:15:23+00:00
120,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,6215,204,2022-11-17 15:11:47+00:00
121,elonmusk,@minliangtan Definitely,9413,349,2022-11-17 08:45:55+00:00
122,elonmusk,Not to mention the sickkk memes lol,133493,5632,2022-11-17 08:37:59+00:00
123,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,317783,28846,2022-11-17 08:35:22+00:00
124,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,17008,1333,2022-11-17 07:43:09+00:00
125,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,5438,312,2022-11-17 07:24:53+00:00
126,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",15659,988,2022-11-17 06:50:26+00:00
127,elonmusk,@SaladBarFan 🎯,14629,662,2022-11-17 05:04:19+00:00
128,elonmusk,@DavidSacks I believe in vice-signaling,15190,1009,2022-11-17 03:34:42+00:00
129,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",9345,666,2022-11-17 03:32:28+00:00
130,elonmusk,@jack Magic 🎱 knows all,120016,6121,2022-11-17 03:30:38+00:00
131,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5813,249,2022-11-17 03:16:59+00:00
132,elonmusk,@paulg People have no idea how fast Twitter will evolve,27400,2355,2022-11-16 22:26:02+00:00
133,elonmusk,@WholeMarsBlog Yep,10273,497,2022-11-16 22:17:42+00:00
134,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",10463,464,2022-11-16 20:23:08+00:00
135,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",51834,1990,2022-11-16 18:56:33+00:00
136,elonmusk,@rising_serpent Why is that?,73511,3478,2022-11-16 17:25:25+00:00
137,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10666,322,2022-11-16 17:19:54+00:00
138,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",8283,359,2022-11-16 13:55:43+00:00
139,elonmusk,@jimmyfallon Fix what?,173909,5964,2022-11-16 13:53:57+00:00
140,elonmusk,@Mrwhosetheboss Maybe,79117,1840,2022-11-16 13:45:50+00:00
141,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39873,1809,2022-11-16 08:25:44+00:00
142,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,8094,758,2022-11-16 07:17:56+00:00
143,elonmusk,@yukaichou I’m the taint haha,10232,421,2022-11-16 07:09:17+00:00
144,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2526,111,2022-11-16 07:07:09+00:00
145,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4447,289,2022-11-16 06:36:21+00:00
146,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5619,200,2022-11-16 06:33:50+00:00
147,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2482,115,2022-11-16 06:33:19+00:00
148,elonmusk,@wongmjane 😉,23941,804,2022-11-16 06:07:05+00:00
149,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5446,242,2022-11-16 05:52:20+00:00
150,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6391,500,2022-11-16 05:43:18+00:00
151,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11858,780,2022-11-16 01:34:35+00:00
152,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4871,294,2022-11-16 01:24:51+00:00
153,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14760,1660,2022-11-16 00:03:07+00:00
154,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",10046,598,2022-11-15 23:26:28+00:00
155,elonmusk,@RationalBlonde 🤣,12153,266,2022-11-15 23:24:25+00:00
156,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24684,614,2022-11-15 23:23:37+00:00
157,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,227275,15394,2022-11-15 23:18:02+00:00
158,elonmusk,@business False,171886,7709,2022-11-15 23:02:52+00:00
159,elonmusk,@mrjasonchoi @nytimes Interesting thread,12258,636,2022-11-15 22:57:09+00:00
160,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42518,2354,2022-11-15 22:54:56+00:00
161,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,470484,21066,2022-11-15 20:43:17+00:00
162,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,765990,49328,2022-11-15 20:40:54+00:00
163,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10590,579,2022-11-15 19:50:14+00:00
164,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14855,1034,2022-11-15 19:36:37+00:00
165,elonmusk,@jack @micsolana 💯,8328,302,2022-11-15 19:31:39+00:00
166,elonmusk,@elonchieftwit False,3288,170,2022-11-15 19:29:21+00:00
167,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11674,553,2022-11-15 19:28:37+00:00
168,elonmusk,@presidentbison @schrep Schrep is great,1980,84,2022-11-15 18:22:20+00:00
169,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72553,3847,2022-11-15 18:18:29+00:00
170,elonmusk,@catturd2 @WholeMarsBlog You make a compelling case,27295,1167,2022-11-15 18:14:09+00:00
171,elonmusk,@micsolana The injustice of it all 😭😭,36038,1342,2022-11-15 17:47:05+00:00
172,elonmusk,@ajtourville @unusual_whales Seriously,9460,249,2022-11-15 17:37:55+00:00
173,elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,33395,1526,2022-11-15 17:32:41+00:00
174,elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,291907,19356,2022-11-15 17:24:45+00:00
175,elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4872,255,2022-11-15 17:15:42+00:00
176,elonmusk,@MuskUniversity Exactly,13175,583,2022-11-15 17:15:03+00:00
177,elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2512,115,2022-11-15 17:10:29+00:00
178,elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2406,158,2022-11-15 17:09:10+00:00
179,elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",127498,8398,2022-11-15 17:04:47+00:00
180,elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2643,208,2022-11-15 16:53:12+00:00
181,elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",21085,1573,2022-11-15 16:44:31+00:00
182,elonmusk,@Umbisam Mr. Munger’s words are much appreciated,30332,1379,2022-11-15 16:33:15+00:00
183,elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,11191,480,2022-11-15 16:28:12+00:00
184,elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3506,160,2022-11-15 10:25:50+00:00
185,elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3622,134,2022-11-15 10:25:06+00:00
186,elonmusk,@waitbutwhy The ratings on this simulation are incredible,28672,1269,2022-11-15 10:23:22+00:00
187,elonmusk,@wlopwangling Definitely,25320,843,2022-11-15 10:17:39+00:00
188,elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2911,194,2022-11-15 10:14:19+00:00
189,elonmusk,"@micsolana Yeah, I hate it",4357,161,2022-11-15 09:39:59+00:00
190,elonmusk,"By the People,
For the People",257417,20798,2022-11-15 09:35:35+00:00
191,elonmusk,Twitter is All the News,430765,31405,2022-11-15 09:19:19+00:00
192,elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10348,800,2022-11-15 08:58:48+00:00
193,elonmusk,@NASASpaceflight Test went well,24243,1095,2022-11-15 08:30:43+00:00
194,elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8246,279,2022-11-15 04:09:06+00:00
